,id,date,total.calories,goal.calories
0,1,2014-09-14,2924.0,3173.0
1,1,2014-09-15,2430.0,1572.0
2,1,2014-09-16,1862.0,1832.0
3,1,2014-09-17,2251.0,1685.0
4,1,2014-09-18,2001.0,1597.0
5,1,2014-09-19,2158.0,1589.0
6,1,2014-09-20,2691.0,2823.0
7,1,2014-09-21,2524.0,2168.0
8,1,2014-09-22,2182.0,2153.0
9,1,2014-09-23,2443.0,2587.0
10,1,2014-09-24,1595.0,3911.0
11,1,2014-09-25,2136.0,2638.0
12,1,2014-09-26,1415.0,2478.0
13,1,2014-09-27,1401.0,1725.0
14,1,2014-09-28,2291.0,2726.0
15,1,2014-09-29,2642.0,2619.0
16,1,2014-09-30,2664.0,2431.0
17,1,2014-10-01,2258.0,2183.0
18,1,2014-10-02,2250.0,1836.0
19,1,2014-10-03,2650.0,2763.0
20,1,2014-10-04,2154.0,2621.0
21,1,2014-10-06,2500.0,2473.0
22,1,2014-10-07,2111.0,1667.0
23,1,2014-10-08,2165.0,1714.0
24,1,2014-10-09,2150.0,2052.0
25,1,2014-10-10,2165.0,1784.0
26,1,2014-10-11,3078.0,2995.0
27,1,2014-10-12,2428.0,2303.0
28,1,2014-10-13,2117.0,1955.0
29,1,2014-10-14,2157.0,2339.0
30,1,2014-10-15,2628.0,2048.0
31,1,2014-10-16,2456.0,2587.0
32,1,2014-10-17,2516.0,1678.0
33,1,2014-10-18,3373.0,3344.0
34,1,2014-10-19,3105.0,3514.0
35,1,2014-10-20,3218.0,3462.0
36,1,2014-10-21,2430.0,1487.0
37,1,2014-10-22,1695.0,1514.0
38,1,2014-10-23,2075.0,1524.0
39,1,2014-10-24,2005.0,1585.0
40,1,2014-10-25,2208.0,2744.0
41,1,2014-10-26,2295.0,2211.0
42,1,2014-10-27,1772.0,1882.0
43,1,2014-10-28,1740.0,1522.0
44,1,2014-10-29,1827.0,1893.0
45,1,2014-10-30,2156.0,1609.0
46,1,2014-10-31,1944.0,1926.0
47,1,2014-11-01,2943.0,2070.0
48,1,2014-11-07,2738.0,2711.0
49,1,2014-11-08,2428.0,2073.0
50,1,2014-11-09,2525.0,2434.0
51,1,2014-11-10,1399.0,1853.0
52,1,2014-11-11,1800.0,2080.0
53,1,2014-11-12,2209.0,2117.0
54,1,2014-11-13,2466.0,1932.0
55,1,2014-11-14,1711.0,1613.0
56,1,2014-11-15,3020.0,2371.0
57,1,2014-11-16,3369.0,2738.0
58,1,2014-11-17,1912.0,1940.0
59,1,2014-11-18,2070.0,1272.0
60,1,2014-11-19,1334.0,1565.0
61,1,2014-11-20,2407.0,1357.0
62,1,2014-11-21,1891.0,1696.0
63,1,2014-11-22,2972.0,2550.0
64,1,2014-11-23,3053.0,2330.0
65,1,2014-11-24,2313.0,1369.0
66,1,2014-11-25,2160.0,1819.0
67,1,2014-11-26,1471.0,2137.0
68,1,2014-11-27,1776.0,1847.0
69,1,2014-11-28,2255.0,1954.0
70,1,2014-11-29,1483.0,1932.0
71,1,2014-11-30,2041.0,2082.0
72,1,2014-12-01,2579.0,2136.0
73,1,2014-12-02,2156.0,2026.0
74,1,2014-12-03,2046.0,1932.0
75,1,2014-12-04,1880.0,2278.0
76,1,2014-12-05,1934.0,1805.0
77,1,2014-12-06,2325.0,2125.0
78,1,2014-12-07,3212.0,2635.0
79,1,2014-12-08,1911.0,1983.0
80,1,2014-12-09,2584.0,1595.0
81,1,2014-12-10,1762.0,1638.0
82,1,2014-12-11,1896.0,1943.0
83,1,2014-12-12,2568.0,1739.0
84,1,2014-12-13,2005.0,2736.0
85,1,2014-12-14,2559.0,2164.0
86,1,2014-12-15,1753.0,2573.0
87,1,2014-12-16,2982.0,2449.0
88,1,2014-12-17,2151.0,1867.0
89,1,2014-12-18,2003.0,1885.0
90,1,2014-12-19,2552.0,2021.0
91,1,2014-12-20,2384.0,1516.0
92,1,2014-12-21,2818.0,2893.0
93,1,2014-12-22,1203.0,1664.0
94,1,2014-12-23,2412.0,1200.0
95,1,2014-12-24,2806.0,2481.0
96,1,2014-12-25,3000.0,2024.0
97,1,2014-12-26,2238.0,2322.0
98,1,2014-12-27,2555.0,2159.0
99,1,2014-12-28,3335.0,2644.0
100,1,2014-12-29,2049.0,1966.0
101,1,2014-12-30,2117.0,1843.0
102,1,2014-12-31,2725.0,2222.0
103,1,2015-01-01,2253.0,2192.0
104,1,2015-01-02,2485.0,2441.0
105,1,2015-01-03,2948.0,1789.0
106,1,2015-01-04,3004.0,2647.0
107,1,2015-01-05,1768.0,2223.0
108,1,2015-01-06,1970.0,1666.0
109,1,2015-01-07,1969.0,2643.0
110,1,2015-01-08,2003.0,2001.0
111,1,2015-01-09,2205.0,2020.0
112,1,2015-01-10,1445.0,1555.0
113,1,2015-01-11,1778.0,1900.0
114,1,2015-01-12,1990.0,1863.0
115,1,2015-01-13,1513.0,1493.0
116,1,2015-01-14,2108.0,2043.0
117,1,2015-01-15,2271.0,2132.0
118,1,2015-01-16,3005.0,2116.0
119,1,2015-01-17,2209.0,1569.0
120,1,2015-01-18,2759.0,2912.0
121,1,2015-01-19,2106.0,1560.0
122,1,2015-01-20,3000.0,1509.0
123,1,2015-01-21,2500.0,2349.0
124,1,2015-01-22,2500.0,2320.0
125,1,2015-01-23,2500.0,1759.0
126,1,2015-01-24,1724.0,1753.0
127,1,2015-01-25,2242.0,2435.0
128,1,2015-01-26,2317.0,2329.0
129,1,2015-01-27,1645.0,1530.0
130,1,2015-01-28,1740.0,1582.0
131,1,2015-01-29,2371.0,1944.0
132,1,2015-01-30,2450.0,1961.0
133,1,2015-01-31,1938.0,1932.0
134,1,2015-02-01,2716.0,2097.0
135,1,2015-02-02,2060.0,1969.0
136,1,2015-02-03,3000.0,1606.0
137,1,2015-02-04,1746.0,2096.0
138,1,2015-02-05,1266.0,1972.0
139,1,2015-02-06,1857.0,2283.0
140,1,2015-02-07,2585.0,2053.0
141,1,2015-02-08,2561.0,2428.0
142,1,2015-02-09,3143.0,2534.0
143,1,2015-02-10,2551.0,1842.0
144,1,2015-02-11,3267.0,2133.0
145,1,2015-02-12,1692.0,2207.0
146,1,2015-02-13,2766.0,1995.0
147,1,2015-02-14,2912.0,1633.0
148,1,2015-02-15,2912.0,2735.0
149,1,2015-02-16,2577.0,1654.0
150,1,2015-02-17,2873.0,1461.0
151,1,2015-02-18,2364.0,1824.0
152,1,2015-02-19,1892.0,2129.0
153,1,2015-02-20,2083.0,1497.0
154,1,2015-02-21,2643.0,3795.0
155,1,2015-02-22,2835.0,3229.0
156,1,2015-02-23,2034.0,2555.0
157,1,2015-02-24,2523.0,2324.0
158,1,2015-02-25,2272.0,2253.0
159,1,2015-02-26,1754.0,1744.0
160,1,2015-02-27,2605.0,2928.0
161,1,2015-02-28,2329.0,2904.0
162,1,2015-03-01,1769.0,2260.0
163,1,2015-03-02,2476.0,2745.0
164,1,2015-03-03,2818.0,2233.0
165,1,2015-03-04,2155.0,2846.0
166,1,2015-03-05,2135.0,2503.0
167,1,2015-03-06,2418.0,2669.0
168,1,2015-03-07,2912.0,2709.0
169,1,2015-03-08,4122.0,4578.0
170,1,2015-03-09,3009.0,2845.0
171,1,2015-03-10,2432.0,1819.0
172,1,2015-03-11,2280.0,2273.0
173,1,2015-03-12,1208.0,2329.0
174,2,2015-01-12,2117.0,1220.0
175,2,2015-01-13,1327.0,1420.0
176,2,2015-01-14,1431.0,1420.0
177,2,2015-01-15,1473.0,1420.0
178,2,2015-01-16,1444.0,1420.0
179,2,2015-01-17,1284.0,1420.0
180,2,2015-01-18,1238.0,1420.0
181,2,2015-01-19,1169.0,1420.0
182,2,2015-01-20,1390.0,1420.0
183,2,2015-01-21,1364.0,1380.0
184,2,2015-01-22,1396.0,1380.0
185,2,2015-01-23,1357.0,1380.0
186,2,2015-01-24,1641.0,1380.0
187,2,2015-01-25,1099.0,1380.0
188,2,2015-01-26,1251.0,1380.0
189,2,2015-01-27,1374.0,1380.0
190,2,2015-01-28,1391.0,1732.0
191,2,2015-01-29,1374.0,1380.0
192,2,2015-01-30,1168.0,1380.0
193,2,2015-01-31,1157.0,1732.0
194,2,2015-02-01,1411.0,1380.0
195,2,2015-02-02,1375.0,1380.0
196,2,2015-02-03,1336.0,1732.0
197,2,2015-02-04,1483.0,1380.0
198,2,2015-02-05,1373.0,1868.0
199,2,2015-02-06,1355.0,1380.0
200,2,2015-02-07,1561.0,1954.0
201,2,2015-02-08,1396.0,1380.0
202,2,2015-02-09,1339.0,2103.0
203,2,2015-02-10,1450.0,1850.0
204,2,2015-02-11,1640.0,1583.0
205,2,2015-02-12,1631.0,1380.0
206,2,2015-02-13,3776.0,1380.0
207,2,2015-02-14,1417.0,1380.0
208,2,2015-02-15,1478.0,1949.0
209,2,2015-02-16,1451.0,1380.0
210,2,2015-02-17,1292.0,1949.0
211,2,2015-02-18,1664.0,1380.0
212,2,2015-02-19,1355.0,1380.0
213,2,2015-02-20,1310.0,1380.0
214,2,2015-02-21,2451.0,2397.0
215,2,2015-02-22,1362.0,1380.0
216,2,2015-02-23,1365.0,1732.0
217,2,2015-02-24,1138.0,1380.0
218,2,2015-02-25,1907.0,1781.0
219,2,2015-02-26,1295.0,1380.0
220,2,2015-02-27,1437.0,1949.0
221,2,2015-02-28,1296.0,1380.0
222,2,2015-03-01,1157.0,1380.0
223,2,2015-03-02,1446.0,1805.0
224,2,2015-03-03,1367.0,1380.0
225,2,2015-03-04,2348.0,1780.0
226,2,2015-03-05,1650.0,1380.0
227,2,2015-03-06,1180.0,1889.0
228,2,2015-03-07,1348.0,1320.0
229,2,2015-03-08,1548.0,1320.0
230,2,2015-03-09,1673.0,1320.0
231,2,2015-03-10,1424.0,1320.0
232,2,2015-03-11,1444.0,1320.0
233,2,2015-03-12,56.0,1320.0
